item_id,b,se_b,n_responses,source,difficulty_bin
ds-e-1,-1.157207,,0,author_prior,2
ds-e-2,-1.157207,,0,author_prior,2
ds-e-3,-1.51064,,0,author_prior,1
ds-e-4,-1.157207,,0,author_prior,2
ds-e-5,-1.157207,,0,author_prior,2
ds-e-6,-1.157207,,0,author_prior,2
ds-e-7,-1.51064,,0,author_prior,1
ds-m-1,-0.096909,,0,author_prior,5
ds-m-2,-0.096909,,0,author_prior,5
ds-m-3,-0.450342,,0,author_prior,4
ds-m-4,-0.096909,,0,author_prior,5
ds-m-5,0.256524,,0,author_prior,6
ds-m-6,-0.096909,,0,author_prior,5
ds-m-7,0.256524,,0,author_prior,6
ds-h-1,0.963389,,0,author_prior,8
ds-h-2,0.963389,,0,author_prior,8
ds-h-3,1.316822,,0,author_prior,9
ds-h-4,1.316822,,0,author_prior,9
ds-h-5,0.963389,,0,author_prior,8
ds-h-6,1.316822,,0,author_prior,9
ds-h-7,1.670255,,0,author_prior,10
algo-e-1,-1.157207,,0,author_prior,2
algo-e-2,-1.157207,,0,author_prior,2
algo-e-3,-1.51064,,0,author_prior,1
algo-e-4,-1.157207,,0,author_prior,2
algo-e-5,-0.803774,,0,author_prior,3
algo-e-6,-1.157207,,0,author_prior,2
algo-e-7,-1.51064,,0,author_prior,1
algo-m-1,-0.096909,,0,author_prior,5
algo-m-2,0.256524,,0,author_prior,6
algo-m-3,0.256524,,0,author_prior,6
algo-m-4,-0.096909,,0,author_prior,5
algo-m-5,-0.450342,,0,author_prior,4
algo-m-6,0.256524,,0,author_prior,6
algo-m-7,0.256524,,0,author_prior,6
algo-h-1,0.963389,,0,author_prior,8
algo-h-2,1.316822,,0,author_prior,9
algo-h-3,0.963389,,0,author_prior,8
algo-h-4,1.316822,,0,author_prior,9
algo-h-5,1.316822,,0,author_prior,9
algo-h-6,0.963389,,0,author_prior,8
algo-h-7,1.670255,,0,author_prior,10
db-e-1,-1.51064,,0,author_prior,1
db-e-2,-1.51064,,0,author_prior,1
db-e-3,-1.157207,,0,author_prior,2
db-e-4,-1.157207,,0,author_prior,2
db-e-5,-1.51064,,0,author_prior,1
db-e-6,-1.157207,,0,author_prior,2
db-e-7,-1.157207,,0,author_prior,2
db-m-1,-0.096909,,0,author_prior,5
db-m-2,0.256524,,0,author_prior,6
db-m-3,-0.096909,,0,author_prior,5
db-m-4,-0.450342,,0,author_prior,4
db-m-5,-0.096909,,0,author_prior,5
db-m-6,-0.096909,,0,author_prior,5
db-m-7,0.256524,,0,author_prior,6
db-h-1,0.963389,,0,author_prior,8
db-h-2,1.316822,,0,author_prior,9
db-h-3,0.963389,,0,author_prior,8
db-h-4,1.316822,,0,author_prior,9
db-h-5,1.316822,,0,author_prior,9
db-h-6,1.316822,,0,author_prior,9
db-h-7,1.670255,,0,author_prior,10
os-e-1,-1.157207,,0,author_prior,2
os-e-2,-1.157207,,0,author_prior,2
os-e-3,-1.157207,,0,author_prior,2
os-e-4,-0.803774,,0,author_prior,3
os-e-5,-0.803774,,0,author_prior,3
os-e-6,-1.157207,,0,author_prior,2
os-e-7,-1.157207,,0,author_prior,2
os-m-1,-0.096909,,0,author_prior,5
os-m-2,-0.096909,,0,author_prior,5
os-m-3,0.256524,,0,author_prior,6
os-m-4,0.256524,,0,author_prior,6
os-m-5,0.256524,,0,author_prior,6
os-m-6,-0.096909,,0,author_prior,5
os-m-7,0.256524,,0,author_prior,6
os-h-1,1.316822,,0,author_prior,9
os-h-2,1.316822,,0,author_prior,9
os-h-3,0.963389,,0,author_prior,8
os-h-4,1.316822,,0,author_prior,9
os-h-5,1.316822,,0,author_prior,9
os-h-6,0.963389,,0,author_prior,8
os-h-7,0.963389,,0,author_prior,8
cn-e-1,-1.51064,,0,author_prior,1
cn-e-2,-1.157207,,0,author_prior,2
cn-e-3,-1.157207,,0,author_prior,2
cn-e-4,-0.803774,,0,author_prior,3
cn-e-5,-1.157207,,0,author_prior,2
cn-e-6,-1.157207,,0,author_prior,2
cn-e-7,-0.803774,,0,author_prior,3
cn-m-1,-0.096909,,0,author_prior,5
cn-m-2,-0.096909,,0,author_prior,5
cn-m-3,-0.096909,,0,author_prior,5
cn-m-4,-0.450342,,0,author_prior,4
cn-m-5,0.256524,,0,author_prior,6
cn-m-6,-0.096909,,0,author_prior,5
cn-m-7,-0.096909,,0,author_prior,5
cn-h-1,1.316822,,0,author_prior,9
cn-h-2,1.316822,,0,author_prior,9
cn-h-3,1.316822,,0,author_prior,9
cn-h-4,1.316822,,0,author_prior,9
cn-h-5,0.963389,,0,author_prior,8
cn-h-6,0.963389,,0,author_prior,8
cn-h-7,1.316822,,0,author_prior,9
oop-e-1,-1.157207,,0,author_prior,2
oop-e-2,-1.157207,,0,author_prior,2
oop-e-3,-0.803774,,0,author_prior,3
oop-e-4,-1.51064,,0,author_prior,1
oop-e-5,-1.157207,,0,author_prior,2
oop-e-6,-1.157207,,0,author_prior,2
oop-e-7,-1.157207,,0,author_prior,2
oop-m-1,-0.096909,,0,author_prior,5
oop-m-2,-0.096909,,0,author_prior,5
oop-m-3,0.256524,,0,author_prior,6
oop-m-4,0.256524,,0,author_prior,6
oop-m-5,-0.096909,,0,author_prior,5
oop-m-6,-0.096909,,0,author_prior,5
oop-m-7,0.256524,,0,author_prior,6
oop-h-1,1.316822,,0,author_prior,9
oop-h-2,1.316822,,0,author_prior,9
oop-h-3,0.963389,,0,author_prior,8
oop-h-4,1.316822,,0,author_prior,9
oop-h-5,0.963389,,0,author_prior,8
oop-h-6,1.316822,,0,author_prior,9
oop-h-7,1.316822,,0,author_prior,9
bt-q1,-1.51064,,0,author_prior,1
bt-q2,-1.51064,,0,author_prior,1
bt-q3,-1.157207,,0,author_prior,2
bt-q4,-1.157207,,0,author_prior,2
bt-q5,-1.157207,,0,author_prior,2
bt-q6,-1.157207,,0,author_prior,2
bt-q7,-0.803774,,0,author_prior,3
bt-q8,-1.51064,,0,author_prior,1
bt-q9,-1.157207,,0,author_prior,2
bt-q10,-0.803774,,0,author_prior,3
bt-q11,-0.450342,,0,author_prior,4
bt-q12,-0.096909,,0,author_prior,5
bt-q13,0.256524,,0,author_prior,6
bt-q14,-0.096909,,0,author_prior,5
bt-q15,-0.450342,,0,author_prior,4
bt-q16,-0.450342,,0,author_prior,4
bt-q17,0.256524,,0,author_prior,6
bt-q18,-0.096909,,0,author_prior,5
bt-q19,0.256524,,0,author_prior,6
bt-q20,0.609956,,0,author_prior,7
bt-q21,0.963389,,0,author_prior,8
bt-q22,1.316822,,0,author_prior,9
bt-q23,0.963389,,0,author_prior,8
bt-q24,0.963389,,0,author_prior,8
bt-q25,1.316822,,0,author_prior,9
bt-q26,1.316822,,0,author_prior,9
bt-q27,1.670255,,0,author_prior,10
bt-q28,0.963389,,0,author_prior,8
bt-q29,0.963389,,0,author_prior,8
bt-q30,1.316822,,0,author_prior,9
rec-q1,-1.51064,,0,author_prior,1
rec-q2,-1.51064,,0,author_prior,1
rec-q3,-1.157207,,0,author_prior,2
rec-q4,-1.157207,,0,author_prior,2
rec-q5,-1.157207,,0,author_prior,2
rec-q6,-1.157207,,0,author_prior,2
rec-q7,-0.803774,,0,author_prior,3
rec-q8,-1.51064,,0,author_prior,1
rec-q9,-1.157207,,0,author_prior,2
rec-q10,-0.803774,,0,author_prior,3
rec-q11,-0.096909,,0,author_prior,5
rec-q12,-0.450342,,0,author_prior,4
rec-q13,-0.096909,,0,author_prior,5
rec-q14,0.256524,,0,author_prior,6
rec-q15,-0.096909,,0,author_prior,5
rec-q16,0.256524,,0,author_prior,6
rec-q17,0.256524,,0,author_prior,6
rec-q18,-0.450342,,0,author_prior,4
rec-q19,-0.096909,,0,author_prior,5
rec-q20,-0.096909,,0,author_prior,5
rec-q21,0.963389,,0,author_prior,8
rec-q22,0.963389,,0,author_prior,8
rec-q23,1.316822,,0,author_prior,9
rec-q24,0.963389,,0,author_prior,8
rec-q25,0.963389,,0,author_prior,8
rec-q26,1.670255,,0,author_prior,10
rec-q27,0.963389,,0,author_prior,8
