latent,signal,legacy,v2
knowledge,response time,0.08978121248848758,0.026914726750927542
knowledge,reading time,0.07156497738686607,0.022056070119145232
knowledge,option changes,0.17852287712105808,0.018065476729672625
knowledge,time after last action,0.16317596834011017,0.0030694710278620363
knowledge,idle / pause time,0.16986656363979247,0.0
knowledge,pointer velocity,0.1542005499686141,0.04342545988520641
knowledge,path length ratio,0.1559710298331618,0.02517113448332431
knowledge,hover time,0.07122039468151087,0.033075794593426355
knowledge,tab switches,0.061601698433159546,0.0
fatigue,response time,0.27959912458743474,0.013874482299237378
fatigue,reading time,0.2172710797549957,0.01130330893022169
fatigue,option changes,0.5626247399678448,0.030947200760584437
fatigue,time after last action,0.8278323213934184,0.0424210568572434
fatigue,idle / pause time,0.8763535056011822,0.0013667385388300701
fatigue,pointer velocity,0.5422756635605008,0.020273555646495467
fatigue,path length ratio,0.5196790941639584,0.011047527704331372
fatigue,hover time,0.2551973799008245,0.09239214695987208
fatigue,tab switches,0.1756311000148827,0.001200842680599834
