source,model,step,delta_auc,ci_low,ci_high,p_value,p_holm,clears_protocol_band
assistments_2009,lightgbm,L0->L1,0.00166,0.00118,0.00208,0.0,0.0,False
assistments_2009,lightgbm,L1->L2,0.00185,0.00146,0.00227,0.0,0.0,False
assistments_2009,logistic_elasticnet,L0->L1,-0.00062,-0.00115,-0.00012,0.005,0.005,False
assistments_2009,logistic_elasticnet,L1->L2,0.0018,0.00138,0.00217,0.0,0.0,False
assistments_2012,lightgbm,L0->L1,0.00106,0.00054,0.0016,0.0,0.0,False
assistments_2012,lightgbm,L1->L2,0.00171,0.00127,0.00221,0.0,0.0,False
assistments_2012,lightgbm,L2->L3,0.00052,0.00017,0.0009,0.01,0.01,False
assistments_2012,logistic_elasticnet,L0->L1,-0.00013,-0.00053,0.00027,0.51,1.0,False
assistments_2012,logistic_elasticnet,L1->L2,0.0008,0.00052,0.0011,0.0,0.0,False
assistments_2012,logistic_elasticnet,L2->L3,-4e-05,-0.00014,7e-05,0.53,1.0,False
ednet_kt1,lightgbm,L0->L1,0.00301,0.00144,0.00457,0.0,0.0,False
ednet_kt1,lightgbm,L1->L3,0.00103,-0.00018,0.00255,0.11,0.11,False
ednet_kt1,logistic_elasticnet,L0->L1,0.00035,-0.0001,0.00078,0.135,0.27,False
ednet_kt1,logistic_elasticnet,L1->L3,0.0001,-0.00058,0.00073,0.615,0.615,False
sim-V0,lightgbm,L0->L1,0.00207,0.00068,0.00362,0.005,0.02,False
sim-V0,lightgbm,L1->L2,0.00011,-0.00068,0.00091,0.785,1.0,False
sim-V0,lightgbm,L2->L3,-0.00031,-0.00103,0.00046,0.45,1.0,False
sim-V0,lightgbm,L3->L4,0.00038,-0.00051,0.00133,0.37,1.0,False
sim-V0,logistic_elasticnet,L0->L1,0.00017,-0.00016,0.00062,0.375,1.0,False
sim-V0,logistic_elasticnet,L1->L2,-7e-05,-0.00032,0.00019,0.635,1.0,False
sim-V0,logistic_elasticnet,L2->L3,-4e-05,-0.00021,0.00013,0.57,1.0,False
sim-V0,logistic_elasticnet,L3->L4,-0.0002,-0.00066,0.00038,0.485,1.0,False
