policy,n,events,censored,censoring_rate,mastery_rate,median_items_to_mastery,restricted_mean_items_to_budget,mean_ignoring_censoring,mean_knowledge_gain
fixed_order,3000,243,2757,0.919,0.081,,188.27233333333334,188.27233333333334,0.02733877200122143
irt_cat_maxinfo,3000,251,2749,0.9163333333333333,0.08366666666666667,,188.092,188.092,0.030415864418282732
mastery_threshold_bkt,3000,250,2750,0.9166666666666666,0.08333333333333333,,188.4326666666667,188.43266666666668,0.02948483887702507
model_L0,3000,273,2727,0.909,0.091,,187.17366666666675,187.17366666666666,0.04022826778939141
model_L1,3000,262,2738,0.9126666666666666,0.08733333333333333,,187.49599999999998,187.496,0.03766758277355556
model_L3,3000,260,2740,0.9133333333333333,0.08666666666666667,,187.55066666666664,187.55066666666667,0.04023999299614886
model_L4,3000,265,2735,0.9116666666666666,0.08833333333333333,,187.64399999999998,187.644,0.03929444997941494
random,3000,261,2739,0.913,0.087,,187.81366666666668,187.81366666666668,0.039370327854094
rule_improved,3000,245,2755,0.9183333333333333,0.08166666666666667,,188.31566666666671,188.31566666666666,0.03159313715914061
rule_legacy,3000,240,2760,0.92,0.08,,188.76300000000003,188.763,0.027291097087975322
