source,cell,rung,model,roc_auc,ci_low,ci_high,ece,brier,n_learners
assistments_2009,L0|catboost,L0,catboost,0.71028,0.69709,0.72337,0.00564,0.19135,592
assistments_2009,L0|lightgbm,L0,lightgbm,0.71007,0.69678,0.72307,0.00613,0.19147,592
assistments_2009,L0|logistic_elasticnet,L0,logistic_elasticnet,0.69978,0.68681,0.71258,0.00925,0.1952,592
assistments_2009,L0|mlp,L0,mlp,0.70575,0.69245,0.71878,0.014,0.19301,592
assistments_2009,L0|random_forest,L0,random_forest,0.71052,0.6973,0.72356,0.00918,0.19152,592
assistments_2009,L0|xgboost,L0,xgboost,0.70964,0.69623,0.72279,0.00561,0.19157,592
assistments_2009,L1|catboost,L1,catboost,0.71286,0.69979,0.72603,0.00581,0.19032,592
assistments_2009,L1|lightgbm,L1,lightgbm,0.71258,0.69947,0.72531,0.00639,0.19035,592
assistments_2009,L1|logistic_elasticnet,L1,logistic_elasticnet,0.6996,0.68612,0.71217,0.00808,0.19467,592
assistments_2009,L1|mlp,L1,mlp,0.70822,0.69492,0.72145,0.00749,0.19152,592
assistments_2009,L1|random_forest,L1,random_forest,0.7126,0.69952,0.72538,0.00703,0.19056,592
assistments_2009,L1|xgboost,L1,xgboost,0.71245,0.69905,0.72526,0.00679,0.19041,592
assistments_2009,L2|catboost,L2,catboost,0.71417,0.70124,0.72704,0.00447,0.18946,592
assistments_2009,L2|lightgbm,L2,lightgbm,0.7142,0.70089,0.72672,0.00789,0.18949,592
assistments_2009,L2|logistic_elasticnet,L2,logistic_elasticnet,0.70143,0.68783,0.71452,0.00777,0.19376,592
assistments_2009,L2|mlp,L2,mlp,0.708,0.6943,0.72104,0.01998,0.19174,592
assistments_2009,L2|random_forest,L2,random_forest,0.71365,0.70069,0.72688,0.00842,0.18979,592
assistments_2009,L2|xgboost,L2,xgboost,0.71409,0.70071,0.72662,0.0082,0.18951,592
assistments_2012,L0|catboost,L0,catboost,0.67268,0.65641,0.68616,0.00668,0.18906,417
assistments_2012,L0|lightgbm,L0,lightgbm,0.67181,0.65543,0.68518,0.00598,0.1893,417
assistments_2012,L0|logistic_elasticnet,L0,logistic_elasticnet,0.66522,0.64824,0.67901,0.00961,0.19089,417
assistments_2012,L0|mlp,L0,mlp,0.67048,0.65309,0.6849,0.00426,0.18956,417
assistments_2012,L0|random_forest,L0,random_forest,0.6707,0.65421,0.68437,0.00585,0.18949,417
assistments_2012,L0|xgboost,L0,xgboost,0.66976,0.6533,0.68317,0.0051,0.18969,417
assistments_2012,L1|catboost,L1,catboost,0.67429,0.6587,0.68749,0.00516,0.18858,417
assistments_2012,L1|lightgbm,L1,lightgbm,0.67381,0.65773,0.68688,0.00583,0.18865,417
assistments_2012,L1|logistic_elasticnet,L1,logistic_elasticnet,0.66437,0.64713,0.67831,0.0081,0.19082,417
assistments_2012,L1|mlp,L1,mlp,0.67037,0.65378,0.6844,0.00671,0.18929,417
assistments_2012,L1|random_forest,L1,random_forest,0.67262,0.6564,0.68579,0.0069,0.18882,417
assistments_2012,L1|xgboost,L1,xgboost,0.67286,0.6569,0.68581,0.00555,0.18877,417
assistments_2012,L2|catboost,L2,catboost,0.67592,0.66055,0.6891,0.00643,0.18796,417
assistments_2012,L2|lightgbm,L2,lightgbm,0.67572,0.65952,0.68903,0.00519,0.18806,417
assistments_2012,L2|logistic_elasticnet,L2,logistic_elasticnet,0.66536,0.64832,0.67889,0.00699,0.19043,417
assistments_2012,L2|mlp,L2,mlp,0.67286,0.6565,0.68676,0.01836,0.18901,417
