variant,policy,learners,mastery_rate,censoring_rate,mean_knowledge_gain,mean_knowledge_gain_per_item,mean_initial_mastery_fraction,mean_items_to_mastery,median_items_to_mastery,mean_time_to_mastery_seconds,median_time_to_mastery_seconds,mean_final_mastery_fraction,mean_success_probability,mean_difficulty,accuracy,mean_sessions,disengagement_rate
V0,fixed_order,3000,0.081,0.919,0.027339,0.0010424,0.339111,188.2723,200.0,16568.89,15717.48808896238,0.243278,0.49436,7.5199,0.494127,18.6017,0.837667
V0,irt_cat_maxinfo,3000,0.083667,0.916333,0.030416,0.00100697,0.339111,188.092,200.0,20482.51,19678.720944559416,0.2335,0.580819,6.0237,0.581641,23.9227,0.74
V0,mastery_threshold_bkt,3000,0.083333,0.916667,0.029485,0.00103579,0.339111,188.4327,200.0,19230.26,18592.589306965798,0.247889,0.589557,5.6102,0.590116,23.8347,0.751333
V0,model_L0,3000,0.091,0.909,0.040228,0.00111009,0.339111,187.1737,200.0,18043.7,17229.99179775588,0.256444,0.70027,3.6897,0.700929,23.7073,0.749
V0,model_L1,3000,0.087333,0.912667,0.037668,0.00110343,0.339111,187.496,200.0,17847.33,17308.294086423506,0.255111,0.711139,3.5727,0.711757,23.713,0.736
V0,model_L3,3000,0.086667,0.913333,0.04024,0.0011546,0.339111,187.5507,200.0,19946.93,19501.96763138119,0.251667,0.714314,3.4994,0.716234,29.87,0.557
V0,model_L4,3000,0.088333,0.911667,0.039294,0.00114887,0.339111,187.644,200.0,19822.16,19258.99887473197,0.251611,0.7182,3.4116,0.719817,29.969,0.55
V0,random,3000,0.087,0.913,0.03937,0.00106992,0.339111,187.8137,200.0,34671.64,35059.9811843275,0.269278,0.692686,4.9478,0.694537,64.7293,0.323333
V0,rule_improved,3000,0.081667,0.918333,0.031593,0.00100788,0.339111,188.3157,200.0,18565.34,17861.057013350197,0.253444,0.58553,5.6681,0.587136,23.8077,0.742667
V0,rule_legacy,3000,0.08,0.92,0.027291,0.00096207,0.339111,188.763,200.0,19629.91,18834.454632867695,0.245556,0.536603,6.7031,0.53745,23.743,0.75
V1,fixed_order,3000,0.084,0.916,0.024966,0.0009866,0.342778,187.702,200.0,16471.77,15790.487438411245,0.247611,0.502946,7.4917,0.50444,18.4057,0.843
V1,irt_cat_maxinfo,3000,0.086333,0.913667,0.024312,0.00094327,0.342778,187.739,200.0,20401.58,19536.246118150873,0.237778,0.58247,6.0723,0.583855,23.7017,0.767333
V1,mastery_threshold_bkt,3000,0.086333,0.913667,0.030147,0.00097144,0.342778,187.75,200.0,19257.65,18592.464840786946,0.251222,0.593554,5.6517,0.593874,23.872,0.739667
V1,model_L0,3000,0.096333,0.903667,0.04115,0.001089,0.342778,186.5963,200.0,17984.15,17347.703909723175,0.266889,0.703746,3.707,0.704072,23.6073,0.744667
V1,model_L1,3000,0.096667,0.903333,0.035162,0.0010907,0.342778,186.475,200.0,17635.1,17266.385451261238,0.262056,0.713246,3.5853,0.714991,23.5677,0.747
V1,model_L3,3000,0.091667,0.908333,0.032237,0.00101496,0.342778,187.0327,200.0,19939.85,19632.56591609959,0.255722,0.716363,3.513,0.716874,29.8173,0.551333
V1,model_L4,3000,0.089667,0.910333,0.030391,0.00107953,0.342778,187.0653,200.0,19727.95,19359.47657806103,0.254611,0.720337,3.408,0.722738,29.9403,0.556333
V1,random,3000,0.091667,0.908333,0.038165,0.00096851,0.342778,187.1173,200.0,34499.24,35067.970024404145,0.2765,0.695437,4.9409,0.695213,64.372,0.328
V1,rule_improved,3000,0.085,0.915,0.026819,0.00088761,0.342778,188.0293,200.0,18594.09,18036.6414746851,0.259333,0.589504,5.7575,0.59048,23.8627,0.752667
V1,rule_legacy,3000,0.081667,0.918333,0.02003,0.00085233,0.342778,188.521,200.0,19640.59,18940.455754855408,0.247889,0.540946,6.745,0.542458,23.8403,0.743
V2,fixed_order,3000,0.081,0.919,0.027339,0.0010424,0.339111,188.2723,200.0,15477.73,14673.848850087605,0.243278,0.49436,7.5199,0.494127,18.6017,0.837667
