policy,learner_index,mastered,questions,time_seconds,final_mastery
ml_based,1,False,25,487.5,0.4821
ml_based,2,False,25,512.3,0.5102
ml_based,3,False,25,498.1,0.4955
ml_based,4,True,20,402.7,0.8100
ml_based,5,False,25,523.4,0.4710
ml_based,6,False,25,501.2,0.4933
ml_based,7,False,25,489.6,0.5044
ml_based,8,True,22,445.8,0.8200
ml_based,9,False,25,515.7,0.4801
ml_based,10,False,25,507.3,0.4888
ml_based,11,False,25,495.2,0.5120
ml_based,12,False,25,510.8,0.4765
ml_based,13,True,18,368.4,0.8300
ml_based,14,False,25,498.5,0.4970
ml_based,15,False,25,520.1,0.4850
improved_rule,1,False,25,512.8,0.4510
improved_rule,2,False,25,534.2,0.4732
improved_rule,3,False,25,527.1,0.4601
improved_rule,4,False,25,541.5,0.4422
improved_rule,5,False,25,518.9,0.4688
improved_rule,6,False,25,530.4,0.4555
improved_rule,7,True,23,470.2,0.8050
improved_rule,8,False,25,525.7,0.4610
improved_rule,9,False,25,538.3,0.4499
improved_rule,10,False,25,515.0,0.4720
improved_rule,11,False,25,529.6,0.4577
improved_rule,12,False,25,522.4,0.4644
improved_rule,13,False,25,536.1,0.4533
improved_rule,14,False,25,519.8,0.4701
improved_rule,15,False,25,533.5,0.4488
